 ,Mg,Rg,a,ad,ag,al,an,b,begin,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,ntcf,ntch,nth,nto,nts,ntu,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,y,z
ntu,0,0,58,9,1,0,2,54,0,2,6,146,163,0,2,0,23,73,4,0,2,3,0,4,0,0,0,0,44,153,734,0,0,1,11,1,0,49,25,0,12,605,90,0,0,8,0,40,4,111,3,0,0,0,1,3,0,0,473,0,108,0,2,1,0,0,5,0,0,0,0,1,15,0,0,5,24,53,0,0,441,0,0,96,0,0,0,0,0,10,0,0,0,630,8,5,3,124,2,192,8,0,6,756,11,0,0
nz,0,12,24035,5373,1952,390,1932,9126,0,212,7080,36660,71084,128,293,121,16259,39183,203,27,81,568,326,17,3,135,4577,58,18468,22693,200680,17,0,2898,13632,739,32,15466,217,66,1784,20244,9512,1,2,3137,128,14997,1282,1584,377,16,2,68,16,220,22,19,51931,39,35896,731,3720,4835,1393,1076,1945,4044,304,51,60,818,9161,268,14,1870,4262,13439,711,251,113835,1771,365,13215,381,757,11281,174,828,1168,743,479,2670,170418,1815,5197,2733,30492,3121,51361,10019,218,3540,488709,3690,2584,1430
o,0,0,140,0,9,2,0,6,0,0,2,5,61,2,0,2,8,10,0,0,0,0,0,0,0,0,0,0,8,56,185,0,0,2,102,0,0,11,0,0,0,16,4,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,79,157,34,0,2,8,0,12,0,5,0,0,0,0,2,0,0,0,0,4,0,0,176,70,0,6,0,0,4,0,0,0,9,6,16,399,0,2,23,84,0,20,4,0,0,1209,16,2,1
p,0,20,35935,6491,2559,264,1922,23649,0,257,612,3130,27028,65,424,26,278,26495,443,63,300,885,266,96,0,1427,50,120,41324,42536,315667,49,0,3604,7787,1581,70,23399,321,66,3608,22145,25563,0,0,6375,240,89275,22753,16559,2368,192,20,87,482,2510,79,888,91906,66,16631,274,1823,4415,3817,642,13614,52166,2619,1146,111,596,29850,7880,319,10944,33682,87586,1292,22,3544,1287,264,387,26,722,7654,82,0,300,8,1053,626,153652,1047,4836,2775,23386,2867,38809,645,8,1432,49330,6508,224,1372
pba,0,0,1080,233,30,2,136,604,0,6,20,26,549,0,2,0,0,197,16,0,16,37,2,2,0,6,0,2,363,767,14174,6,0,446,219,20,7,393,0,0,48,348,537,0,0,108,2,1019,134,67,37,0,0,0,5,5,2,1,2737,0,259,0,12,187,24,2,508,5362,19,0,0,4,1263,68,0,732,329,326,22,0,20,14,0,0,0,4,0,0,0,16,0,6,2,3729,8,50,67,524,102,1218,0,0,44,1137,156,0,33
pbei,0,0,1724,696,99,18,59,905,0,14,4,11,1754,2,29,0,2,243,34,10,6,71,0,0,2,42,6,2,848,1532,16221,12,0,236,362,116,0,963,0,0,385,1491,1208,0,0,239,4,1629,468,690,106,0,0,1,5,211,0,19,6148,6,444,0,6,455,78,22,142,1545,56,0,0,4,540,24,0,286,549,74,52,0,0,10,6,0,0,0,0,30,0,0,0,2,0,48100,116,681,1495,3100,384,3964,0,16,4,1222,123,0,115
q,3,0,11895,540,850,153,389,6377,0,33,667,3116,9174,19,40,2,2801,8762,61,18,24,122,71,20,0,20,124,1,5876,2223,96638,8,0,1653,3530,114,21,4251,31,14,1382,6557,765,0,0,660,18,1854,454,243,241,4,0,1,1,24,0,8,11156,8,4814,88,511,7238,506,2519,920,391,459,4,0,52,943,24,2,163,913,1362,171,30,14402,178,66,631,14,60,469,44,29,115,64,126,320,25594,270,1103,1277,5226,778,6921,1071,33,676,87207,1033,226,425
qt,2,0,3267,103,120,16,31,698,0,3,247,375,3952,8,8,4,621,6101,0,0,0,16,28,0,0,206,15,2,2008,1292,16994,0,0,278,1172,4,4,126,5,0,44,319,246,0,0,44,4,395,77,10,3,0,0,0,0,2,0,0,1743,2,1254,15,82,845,269,185,171,303,170,0,4,21,160,14,10,60,95,1096,251,12,9530,8,11,80,4,421,761,13,8,47,119,42,129,7839,61,740,861,1674,79,1134,221,2,147,20004,42,130,62
qv,2,6,1215,159,153,5,19,422,0,0,82,551,1964,3,2,7,699,2106,2,1,12,5,2,4,0,0,55,0,333,262,9621,0,0,121,415,14,0,155,0,1,28,183,92,0,0,27,2,370,35,8,2,0,0,0,0,0,0,0,1246,8,1029,4,106,374,27,206,29,67,2,0,0,3,29,0,0,16,53,244,38,6,1509,27,6,107,3,18,207,0,0,0,8,62,30,5700,83,228,405,1455,139,1846,171,2,150,15258,207,28,26
r,0,0,3865,816,74,56,386,1434,0,51,696,590,12380,14,66,0,64,1330,32,16,20,61,64,2,0,28,30,12,2823,2669,41195,0,0,380,385,88,4,3275,190,12,346,2907,396,0,0,107,26,828,225,199,27,3,0,0,2,52,0,0,7292,3,5479,232,398,423,195,72,1208,888,18,0,0,33,661,38,12,70,576,3948,41,4,4653,76,40,196,2,32,15,12,14,88,19,0,36,26209,204,749,347,3812,601,9608,587,8,665,9767,337,18,122
rr,0,0,10495,3550,223,362,487,2774,0,176,6756,9076,92618,14,445,38,551,3811,6,0,0,80,238,0,0,15,110,68,3406,6715,32267,0,0,63,840,127,0,1399,7,0,175,987,190,0,0,51,0,472,16,44,1,0,0,1,1,7,1,1,11094,19,31084,2354,2037,2188,283,70,2133,3539,452,46,38,1830,2930,752,68,2311,5875,8623,64,74,70115,10,322,192,238,260,1077,224,1014,1870,343,6,115,145064,431,5406,456,15525,2992,82600,12986,37,3851,27101,192,1047,584
ry,0,0,1145,50,74,8,123,138,0,0,106,180,3887,2,0,8,116,75,0,0,0,2,2,0,0,0,0,0,56,465,10234,0,0,173,192,18,0,106,1,0,62,197,10,0,0,0,0,28,14,9,2,0,0,0,0,0,0,0,706,4,828,28,14,405,147,146,17,110,49,0,0,8,148,0,0,24,105,39,44,0,760,47,6,6,8,8,205,14,0,58,20,0,12,4234,2,724,40,539,58,1110,710,0,262,6514,52,767,12
rys,0,0,30,0,0,0,0,0,0,0,0,8,222,0,10,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,4,2,0,0,6,0,24,0,0,8,0,0,0,0,0,0,0,38,0,0,0,0,4,78,0,0,0,0,0,0,492,0,324,14,78,2,34,46,0,66,1094,0,88,0
ryt,0,0,2,16,0,0,0,0,0,0,2,2,150,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,16,79,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,15,0,8,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,6,32,0,0,0,0,0,0,498,1,48,6,112,0,22,4,0,2,593,2,8,0
ryv,0,0,510,126,7,4,45,126,0,2,200,146,2815,0,12,0,30,60,2,0,0,0,0,0,0,2,2,0,94,268,1286,0,0,25,65,2,0,53,0,0,10,36,58,0,0,16,0,90,23,11,3,0,0,0,0,3,0,0,840,0,1265,134,106,98,14,0,58,264,6,0,0,64,305,6,2,147,10,198,6,8,2300,14,0,8,0,90,232,8,0,0,0,0,0,12176,16,322,60,1050,118,1779,112,6,122,3558,6,390,20
rz,0,18,14223,1000,354,189,735,3551,0,54,648,1921,14058,10,57,2,99,1459,199,34,10,239,239,33,0,4,326,58,4289,8734,112113,6,0,944,2392,146,0,9337,47,36,861,5228,682,0,0,199,18,1762,270,295,187,6,0,2,5,26,0,12,13328,0,7437,105,1169,4189,1644,612,225,879,76,0,2,1169,1085,50,8,142,1343,2737,118,14,5620,146,22,508,34,58,70,38,22,733,20,12,30,38751,312,771,723,5681,1090,10734,2233,42,2183,22277,689,82,272
rzs,0,0,364,169,5,10,29,187,0,6,157,179,2046,2,2,0,20,3026,0,0,20,0,4,0,0,0,6,0,201,209,5814,0,0,50,228,2,0,337,0,0,103,238,31,0,0,6,0,19,4,16,2,1,0,0,0,4,0,0,1224,0,598,16,50,464,14,130,53,130,0,2,0,19,294,0,0,2,42,119,8,2,2474,6,2,68,2,32,102,6,6,26,2,0,22,5292,42,229,37,842,101,1072,406,12,370,3290,82,64,21
rzt,0,0,32,18,0,2,0,16,0,0,34,6,335,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,27,73,247,0,0,0,12,0,0,16,0,0,10,40,62,0,0,4,0,23,1,2,0,0,0,0,0,0,0,1,93,0,70,2,12,0,0,0,26,314,2,0,0,0,14,0,0,0,12,36,0,2,274,0,0,0,0,0,0,0,0,2,0,0,0,348,4,73,2,28,2,16,38,0,26,1258,2,0,4
rzv,0,2,3700,690,26,114,166,1351,0,60,3150,1088,18233,6,30,6,20,1794,32,10,4,28,6,0,0,1,20,86,14061,14248,18617,0,0,287,838,16,1,478,0,0,140,833,126,0,0,18,2,81,40,11,24,0,0,0,0,0,0,0,3518,6,4142,118,239,20204,672,1558,332,1026,110,10,0,161,1700,18,0,152,359,697,70,4,11224,40,40,55,137,8,82,6,6,144,88,0,167,16803,48,1407,162,1203,475,1271,17390,2,225,4844,22,219,170
s,0,0,4473,720,123,82,342,1912,0,32,817,1219,9497,14,86,12,883,1782,32,46,7,131,145,10,0,4,23,6,2829,3450,30273,5,0,400,1017,42,8,3073,5,6,547,1519,340,0,0,94,4,622,52,83,34,2,2,0,3,8,1,1,6734,22,2453,116,558,392,31,72,324,212,68,14,0,32,835,41,0,344,472,404,126,154,17245,112,4,196,32,198,308,28,10,157,36,8,50,33859,254,1663,260,7317,645,8451,391,14,2558,31929,220,76,202
t,2,0,8615,3058,339,144,267,3645,0,74,3226,4708,47234,16,60,0,2831,26263,12,4,12,112,234,13,2,286,34,19,11043,13256,63957,0,0,405,2098,121,2,2290,7,10,695,2301,4258,0,0,979,38,12624,2021,1721,387,42,4,4,6,377,4,58,18031,6,32456,237,2493,3227,1497,354,2850,8885,156,3,2,306,2526,263,138,1237,1669,64927,5230,725,37644,47,58,242,30,212,899,242,110,356,437,8,556,98318,952,10693,699,17346,851,10669,4481,16,3498,199393,1754,182,296
tg,8,2,391,43,218,0,20,685,0,0,56,171,1313,14,4,0,142,521,0,0,6,0,4,2,0,4,26,0,442,495,5071,0,0,15,858,4,0,119,9,0,12,600,174,0,0,22,4,571,29,18,2,0,0,3,0,8,0,11,820,0,1186,3,72,222,58,114,280,173,12,0,0,0,1458,8,0,16,158,1327,364,0,739,16,0,16,0,0,372,20,0,8,0,6,27,3468,7,313,204,537,38,277,86,0,123,5684,34,15,8
u,0,0,9,4,0,0,2,10,0,0,15,20,199,0,0,0,3,36,0,0,0,0,2,0,0,0,0,0,71,109,155,0,0,0,24,0,0,0,0,0,2,5,8,0,0,2,0,34,6,1,0,0,0,0,0,0,0,0,85,0,22,0,0,12,0,0,0,130,0,0,0,0,6,2,0,6,2,12,0,0,73,5,2,0,0,0,22,0,0,0,0,0,2,131,0,1,2,8,2,6,30,0,2,5288,0,8,0
ude1,0,2,71242,5540,1743,347,9409,26807,0,170,6474,521,23371,53,60,52,442,7288,1161,347,328,1674,1570,321,0,258,59,288,30389,49168,763990,99,1,9496,4534,1334,168,13260,304,486,7021,28454,22668,0,0,5521,204,18696,5082,3369,1412,65,23,33,60,295,31,127,122007,60,3447,90,351,4090,1103,289,4264,6761,355,4,0,60,6734,184,2,4382,7428,10463,661,2,340,220,14,94,0,66,328,54,86,54,172,4,4,30578,276,483,1879,6150,2343,226791,20926,39,1503,113294,7770,1442,1980
ude2,0,0,697,192,30,34,38,94,0,0,37,422,1931,2,2,2,140,355,0,0,2,0,0,0,0,0,16,6,176,222,2633,0,0,9,132,0,0,116,2,0,12,87,38,0,0,12,0,109,4,3,8,0,0,1,1,0,0,0,1327,0,3221,384,211,150,0,22,22,30,0,0,0,56,55,0,0,20,25,76,28,4,1127,10,4,50,0,16,12,14,0,8,16,0,7,23703,124,481,77,2259,144,2114,103,49,558,4197,19,12,16
ude3,0,0,3479,736,34,945,155,45,0,20,130,113,5062,6,14,0,6,284,0,0,0,0,0,0,0,0,0,14,255,282,1127,0,0,8,63,74,0,10,0,0,14,9,76,0,0,5,0,29,4,1,2,0,0,0,0,0,0,0,922,8,423,68,14,42,10,12,24,146,20,0,0,116,225,20,0,100,12,92,38,0,89,0,8,58,0,139,0,18,0,0,6,18,16,2959,14,366,34,616,222,82,96,0,175,365,6,12,396
udeng,0,0,4836,284,66,53,225,2620,0,28,30,180,3473,4,10,0,204,355,107,22,12,202,0,2,0,7,2,0,5899,6403,46679,0,0,311,525,22,1,550,27,0,355,709,107,0,0,7,2,477,70,99,33,0,0,0,1,23,0,0,5812,0,1165,22,78,208,213,59,569,1016,52,0,8,4,1033,38,0,289,339,397,44,0,574,2996,20,6,0,56,286,0,8,24,22,638,5,6669,125,202,109,995,226,5625,36,8,162,16588,30,4,42
udh,0,0,12,10,0,4,2,2,0,0,20,20,348,0,0,0,18,44,0,0,0,0,0,0,0,0,0,0,3,7,83,0,0,0,18,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,32,0,2,2,0,0,2,50,8,0,0,0,6,4,0,10,0,8,0,0,2,0,0,0,0,0,18,0,80,4,0,0,0,632,0,32,0,12,8,4,14,0,10,3798,0,6,0
uguo,0,0,3099,71,24,12,41,296,0,6,56,34,547,0,10,0,54,596,0,0,0,32,12,2,0,30,0,32,1268,2983,4708,2,0,64,198,42,0,178,10,0,40,290,275,0,0,76,4,403,169,60,13,0,0,0,0,7,0,8,1277,2,185,8,10,461,34,16,271,714,187,2,56,32,478,30,0,357,145,799,4,0,1813,0,494,2,12,32,1620,0,28,0,22,216,22,1525,8,78,24,626,50,658,10,0,48,5129,86,106,6
ule,2,0,17519,2644,333,221,843,5532,0,262,668,751,11461,2,97,62,1392,2849,51,0,22,261,78,20,0,96,22,94,23780,43252,62029,0,1,989,1818,417,19,3703,51,16,728,2579,5563,0,0,1220,46,8243,1620,1549,375,44,2,13,69,194,12,92,17501,18,4803,96,189,3762,509,222,2683,11304,1616,66,46,337,4747,288,4,3978,3436,8324,187,4,742,57,0,6,22,50,80,8,0,56,46,0,160,20661,298,4344,422,4928,1113,9773,60,0,282,93974,1303,1968,517
ulian,0,0,133,0,14,0,0,56,0,0,8,25,156,0,2,0,0,190,2,0,0,6,0,0,0,0,0,0,76,181,1691,0,0,34,231,2,0,61,12,0,52,168,209,0,0,38,4,78,48,11,0,0,0,0,0,0,0,0,300,0,151,2,10,244,4,18,19,354,2,0,0,0,72,26,0,26,72,80,0,0,32,0,56,27,0,6,0,0,0,0,0,0,0,1450,3,86,22,297,18,94,0,0,6,180,47,0,4
uls,0,0,27,38,0,16,0,6,0,4,129,35,1120,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,5,14,138,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,65,0,34,0,0,2,0,0,6,47,8,0,0,2,20,0,2,46,0,10,0,0,26,0,0,0,8,2,0,0,0,2,2,0,8,390,2,10,0,17,28,40,606,0,28,8270,0,32,6
usuo,0,0,234,49,7,2,8,210,0,4,2,97,248,0,0,0,9,195,0,0,0,8,0,1,0,0,0,0,20,31,928,0,0,0,55,0,0,713,3,0,5,381,48,0,0,0,0,17,1,2,1,0,0,0,0,0,0,0,316,0,773,0,4,16,4,4,2,0,0,0,0,10,6,0,0,0,5,17,0,0,103,0,0,27,0,12,2,0,0,11,0,12,3,13825,5,67,974,496,44,701,5,0,0,585,4,2,0
uyy,0,0,657,42,8,30,12,24,0,4,14,14,264,0,4,0,38,25,0,0,0,0,0,2,0,0,0,0,7,5,238,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,173,3,176,10,32,14,2,0,2,14,0,0,0,0,4,0,0,0,4,5,0,0,2280,97,2,0,2,5,146,0,0,0,6,0,0,1142,10,38,2,244,62,105,54,0,72,5361,0,66,54
uzhe,0,0,1620,103,46,12,72,358,0,44,65,109,1021,0,48,0,28,239,0,0,6,14,4,0,0,1,4,12,890,2495,8416,0,0,206,217,16,0,155,0,6,102,208,422,0,0,140,8,499,96,35,30,1,0,0,0,6,0,0,2065,4,601,50,34,213,40,12,130,1848,116,0,0,120,509,25,0,427,265,334,34,2,484,74,0,50,0,24,124,0,0,0,8,0,0,3253,8,156,52,916,142,450,18,0,14,4550,60,165,226
uzhi,0,0,2597,84,339,2,10,1154,0,0,30,162,1328,6,0,0,4,492,0,0,0,4,2,0,0,2,10,0,256,36,8573,0,0,12,4605,2,0,18,0,0,2,17,45,0,0,10,0,34,12,1,0,0,0,0,0,0,0,0,608,0,500,0,0,1201,968,1170,0,12,0,0,0,2,97,2,0,0,34,44,404,0,24,418,4,0,0,4,2,0,0,156,0,2,0,3803,4,4,697,600,48,186,0,0,44,1242,0,11,30
v,2,60,147309,29519,5654,1576,11278,53886,0,1075,14755,41918,0,501,1046,170,21723,81831,1544,337,415,2319,826,179,24,1426,4913,592,112740,126799,976144,62,2,14513,50503,6758,401,44454,491,459,8654,52501,42087,0,0,10845,359,83224,21344,12252,3334,252,13,72,567,1548,59,652,229132,186,169347,7782,7870,23754,7631,4989,22939,112695,9164,543,256,3981,49431,4810,112,22468,29110,58627,2792,292,208119,4071,10260,6992,942,15074,257946,232,114,1139,166,25590,3296,364310,1356,53237,9992,33400,14516,505658,21547,304,18806,916011,11910,5714,3448
vd,0,0,1165,151,50,0,150,129,0,6,66,227,787,8,0,2,215,216,4,0,0,10,0,4,0,6,37,0,540,973,2305,0,0,18,36,2,0,234,0,0,0,61,61,0,0,11,0,48,6,12,4,1,0,0,0,1,0,0,807,6,1783,38,34,44,9,18,28,34,0,0,2,0,44,2,0,48,52,245,8,42,1280,62,0,44,0,16,490,0,0,0,0,68,14,18730,90,248,84,4537,60,4334,59,2,55,3748,182,8,14
vf,0,0,3837,740,202,72,189,1391,0,32,328,672,6343,6,27,6,471,2674,13,2,2,26,60,16,0,14,53,12,3172,7011,21325,12,0,244,1037,61,8,3080,12,0,74,320,766,0,0,184,6,5176,816,225,49,6,0,5,37,33,3,23,5746,10,2896,134,171,1021,526,123,429,2051,430,206,2,118,1057,644,2,763,1563,1502,203,20,14034,21,82,43,98,790,15290,4,6,34,16,12,52,30045,104,868,418,5329,432,4710,267,49,248,45012,324,621,198
vg,0,28,2386,200,953,11,112,2653,0,18,223,875,2565,30,16,4,5971,1557,15,6,0,15,2,0,0,22,137,3,1935,1215,16119,0,0,1005,4248,25,2,763,4,6,337,1150,820,0,0,288,5,903,95,99,31,4,0,1,0,10,0,2,2223,6,1694,14,124,1142,206,282,80,344,102,0,2,13,767,30,0,65,152,1118,96,1,2457,117,169,324,12,38,1021,12,14,110,7,121,290,12064,24,1299,1518,1671,74,1352,273,0,551,18231,439,87,124
vi,0,0,10217,1391,379,208,658,2657,0,26,3294,7884,23580,50,56,46,11862,27345,25,6,42,70,102,15,0,164,2377,46,12960,10272,81721,2,0,721,13763,227,47,2812,29,16,1259,3050,2379,0,0,433,10,4254,701,609,141,1,0,10,4,19,1,11,15755,36,22343,377,1242,1389,982,941,1000,3110,395,36,17,288,1560,112,18,801,2460,5229,271,149,59728,1508,926,3161,262,838,17315,36,84,144,219,1603,1599,63940,293,5447,3182,19740,919,18671,2064,33,938,244746,1049,2036,280
vl,0,0,703,70,34,19,75,127,0,6,254,777,1767,0,4,4,1819,887,0,0,0,2,4,0,0,1,144,2,137,335,3466,0,0,52,320,2,2,124,0,0,13,97,128,0,0,18,0,68,27,3,9,0,0,0,0,0,0,0,960,0,679,86,86,75,2,31,38,324,22,2,0,22,97,6,0,86,47,117,18,2,22014,2964,8,456,78,28,1082,1,8,12,44,26,375,4908,24,200,107,633,273,1044,318,38,88,74299,26,556,22
vn,0,0,30175,5543,592,239,4512,11067,0,186,5946,45686,47614,87,110,76,15931,48990,464,100,192,1027,396,71,0,101,2987,57,15187,18665,323130,0,0,1353,11916,1158,37,17979,92,47,1240,13778,3467,0,0,983,37,4365,1094,839,396,13,0,4,7,60,5,18,33887,8,25335,206,1305,5771,3118,3083,4129,10667,950,22,86,692,7392,456,8,2860,6836,5646,297,427,109801,1086,1026,11130,344,2311,26055,37,167,845,228,1543,2757,159940,1263,6954,2031,26540,2571,110924,6984,97,2185,516134,2272,2342,470
vshi,2,0,12367,2201,268,353,641,4850,0,365,369,962,16164,20,380,0,14,1671,132,63,28,158,268,21,0,118,12,72,5505,23704,49958,12,2,1037,821,729,14,2648,59,29,949,5186,5195,0,0,1272,56,12666,2580,1753,539,54,2,16,65,226,30,161,18640,10,26002,608,1048,5205,351,69,2057,12276,3878,70,29,2134,3223,220,8,1688,2165,8602,176,4,222,14,26,24,12,26,6,38,2,8,382,4,0,39938,565,735,753,4736,3336,5086,40,0,1839,23719,868,180,595
vx,0,0,164,99,2,0,0,60,0,0,0,20,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,230,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,14,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,120,0,0,0,0,0,0,2250,45,0,0,238,0,668,0,0,0,26,0,0,0
vyou,0,0,11115,1812,245,52,731,2808,0,168,430,122,5907,5,30,2,52,789,104,6,12,294,24,8,0,12,98,66,16427,18736,45050,6,0,429,1076,524,29,648,25,12,448,2374,826,0,0,148,0,892,254,117,54,3,0,0,0,6,2,6,6766,0,1472,30,240,3736,79,216,543,1765,3780,2,46,254,1698,120,0,1295,400,732,40,0,4,49,37,4,0,1055,4762,0,0,0,24,0,65,14287,124,135,680,2745,448,4194,2,0,5,5168,226,54,127
w,38,37,132500,46292,7960,2507,6208,60297,0,2483,237498,105192,434381,343,4623,1330,1607841,59938,1155,413,836,2676,1092,288,46,2086,1465,620,144729,96488,740146,144,0,20001,22082,5784,740,47862,813,693,10827,83322,200078,0,0,29285,1070,172005,30832,36055,6879,655,27,115,662,6682,257,1822,314667,1158,288149,8869,12330,18469,5453,1338,44251,190147,4740,240,161,6366,81405,5874,1236,62455,24142,173995,5734,68,53643,913,590,9875,120,1392,1770,2294,142,1485,404,170,1395,837492,9420,11277,11028,90304,27136,101656,30865,263,24501,381809,39280,974,5973
x,0,0,1233,221,214,4,29,1606,0,2,508,2591,4295,16,10,1,2070,1683,44,3,2,143,51,32,0,2,926,0,341,361,20627,0,0,135,1919,1300,16,1056,0,27,835,1156,575,0,0,354,0,683,127,110,45,0,0,0,0,0,0,1,4204,2,2326,7,158,2683,115,2260,106,68,44,0,0,24,238,10,0,130,350,542,43,2,5655,27,10,996,8,38,111,6,39,37,61,0,21,9371,79,225,174,1634,98,2536,826,2,327,48484,758,57,50
y,0,0,48,12,8,0,4,16,0,0,22,6,66,0,0,16,423,11,0,0,0,0,0,0,0,0,0,0,10,20,295,0,0,20,50,0,0,0,0,0,0,4,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,36,14,18,0,0,6,2,2,0,40,8,0,0,0,19,0,0,20,10,14,0,0,22,0,2,14,0,0,24,2,0,0,0,0,2,200,0,6,10,23,8,6,12,0,8,37666,10,42,0
z,0,0,850,24,12,4,102,252,0,0,81,215,762,0,6,2,245,173,2,0,0,4,2,0,0,0,24,2,360,1031,6081,0,0,164,158,12,4,107,0,0,119,389,42,0,0,20,2,131,2,2,0,0,0,0,0,0,0,0,1096,0,637,36,38,41,66,22,8,54,4,0,0,5,31,0,2,24,64,257,4,0,7051,1219,2,21,16,58,99,0,2,0,0,12,55,3961,11,111,41,959,138,474,427,0,86,7529,48,94,126
